Blog	second	here	music	until	want	feature	how	series	re	tech	best	never	much	life	things	had	right	old	people	support	time	team	love	working	such	data	so	years	didn	internet	million	quite	one	open	future	say	saw	take	drive	ways	going	where	many	photos	technology	being	around	world	power	favorite	her	am	an	as	original	tv	th	small	past	hours	social	more	company	its	always	found	really	number	self	also	play	cover	set	see	using	readers	d	be	by	into	line	up	us	ago	try	video	let	great	makes	next	doing	could	start	system	face	should	hope	email	ve	off	less	web	become	does	told	work	after	then	them	they	another	what	do	away	we	com	has	voice	night	security	post	months	way	was	together	change	live	can	write	product	still	not	now	january	year	than	online	america	only	between	these	media	real	read	early	amp	t	business	your	lot	trying	since	month	very	family	site	tried	help	actually	put	latest	pretty	during	x	won	probably	both	look	while	used	user	game	some	doesn	e	go	facebook	win	camera	started	links	including	special	times	need	talk	based	she	problem	i	well	page	twitter	home	he	friends	even	new	ever	tell	give	president	before	better	went	side	mean	content	isn	seem	don	m	stop	bad	decided	said	against	appeared	three	if	make	left	just	yet	down	finally	me	did	run	making	sunday	may	man	maybe	nbsp	interesting	thing	think	first	little	anyone	were	especially	show	black	get	morning	enough	reading	according	called	mark	those	different	pay	same	money	videos	again	important	u	steve	search	two	share	through	good	everyone	house	hard	idea	least	b	most	find	please	point	fun	big	bit	google	often	back	others	ll	day	have	almost	thought	like	about	buy	but	under	every	would	my	keep	end	over	writing	each	driving	got	free	wanted	days	already	top	too	took	though	report	full	news	been	several	everything	no	when	posts	today	trump	huge	name	state	turn	place	any	ideas	sure	later	come	case	myself	week	without	blog	or	there	all	list	design	might	feel	story	nothing	part	his	hit	him	wrote	are	recently	attention	questions	question	long	once	app	use	from	few	something	our	out	their	which	who	why	view	stories	job	last	will	gets	other	smart	know	because	getting	own	made	book
Steve Pavlina	0	1	0	0	4	2	14	0	1	0	0	0	1	6	0	0	0	0	24	0	8	0	0	0	0	0	4	0	1	1	3	0	4	1	0	1	0	0	1	0	0	2	3	0	0	1	1	1	0	0	0	4	4	1	0	0	0	0	0	0	0	2	0	0	1	0	3	0	1	0	0	0	0	1	0	3	3	4	1	3	0	1	0	0	1	11	0	1	1	4	4	1	2	0	0	1	0	2	8	1	0	0	0	0	0	0	1	0	2	2	0	4	7	0	7	1	2	0	0	0	20	1	0	3	0	1	1	4	1	17	0	1	3	0	6	2	5	0	2	1	0	0	1	0	1	0	4	3	10	1	1	2	1	1	0	0	1	0	1	0	0	1	0	0	1	0	0	0	0	2	0	0	3	0	0	0	0	0	0	0	0	1	2	3	0	1	0	0	2	32	4	1	0	2	5	0	2	7	1	0	0	0	3	2	1	0	0	0	0	0	2	5	0	0	1	0	0	20	0	6	0	0	4	0	0	0	1	1	0	1	0	1	0	0	0	0	0	0	22	0	0	0	0	1	1	3	2	0	0	0	0	0	1	0	0	0	0	0	1	2	0	20	0	1	0	3	0	0	0	0	1	0	0	1	0	0	1	1	9	0	0	0	0	0	3	2	6	2	0	4	7	1	1	0	0	0	14	0	0	1	0	1	0	0	9	0	7	3	0	0	0	0	0	0	1	4	2	1	2	4	0	4	0	0	0	2	1	0	1	0	2	0	0	0	0	1	1	2	9	1	1	2	0	0	1	0	0	0	3	0	0	0	7	0	1	8	1	1	0	0	1	4	2	1	5	0	1	2	1	0	0	0	0	4	1	0	1	20	5	1	1	1	0	0
The Full Feed from HuffingtonPost.com	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	2	1	2	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	5	0	0	2	0	1	0	0	24	0	2	0	0	0	0	0	1	0	0	0	1	0	0	5	0	1	1	0	0	0	0	0	0	0	0	0	1	0	4	0	0	0	0	0	0	1	1	0	0	2	0	0	0	2	0	0	2	0	4	1	0	1	0	1	0	2	0	2	0	0	6	0	0	0	3	1	0	0	2	1	0	1	2	0	0	0	0	0	0	0	10	0	0	5	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	2	0	0	1	0	0	0	0	1	1	0	0	1	2	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	2	0	2	1	0	0	0	2	0	1	0	0	0	0	0	2	2	1	0	1	0	1	3	0	1	3	0	0	1	0	1	0	0	0	0	1	0	0	1	0	0	0	1	0	6	0	0	7	2	0	1	1	0	0	0	0	0	4	1	0	0	1	0	0	1	0	2	0	0	0	0	0	2	0	3	0	0	0	0	3	0	1	0	0	0	0	0	0	3	0	0	0	6	0	0	3	2	0	4	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	2	3	0	0	0	0	0	0	0	0	0	6	0	0	2	0	1	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	5	0	1	1	2	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	4	0	0	0	0	0	1	0	1	0	1	0	0	0	4	0
WIL WHEATON dot NET	2	15	2	2	14	0	6	0	13	0	10	7	16	4	7	7	14	0	47	0	12	1	12	2	3	3	51	14	17	1	0	2	12	2	5	2	3	10	2	1	9	1	5	0	0	6	8	6	2	2	7	18	17	28	2	1	1	1	0	3	1	11	0	6	6	1	15	0	0	4	4	1	7	15	1	0	25	31	14	21	1	33	6	10	0	0	4	5	2	6	5	13	5	0	2	3	6	0	15	2	0	0	1	5	3	2	10	8	15	28	5	28	25	7	27	0	17	1	6	0	4	2	25	50	6	3	4	33	3	0	6	31	11	0	6	7	2	5	7	0	7	1	6	1	0	8	73	1	19	12	1	5	0	7	0	0	0	5	4	6	2	2	0	0	3	2	1	3	3	3	0	7	14	5	0	12	1	0	0	4	0	3	0	3	10	1	2	3	0	275	4	0	2	6	29	5	11	5	3	5	9	0	8	4	9	1	5	0	10	0	14	30	3	4	2	9	0	0	6	28	10	3	38	1	5	0	83	9	2	4	0	3	1	11	2	2	12	8	12	19	7	17	3	2	0	17	1	6	2	0	0	0	9	3	0	3	3	2	7	4	0	0	0	4	1	3	6	4	3	3	3	3	1	4	3	0	5	5	4	4	0	2	11	0	10	9	27	2	2	39	34	1	48	1	8	14	45	4	3	8	4	2	1	5	2	7	4	3	0	8	4	3	2	0	9	19	3	7	9	20	1	8	0	3	0	0	0	7	8	0	1	6	8	2	3	0	3	7	38	20	20	0	1	0	15	1	5	2	16	0	24	7	47	0	3	2	1	6	5	0	2	16	4	11	8	23	24	9	50	3	1	1	1	7	19	0	5	2	16	31	0	7	10	0
Latest from Crooks and Liars	0	0	2	0	0	0	3	0	1	0	1	2	2	1	0	5	1	2	1	0	1	0	0	0	1	1	1	1	3	0	0	0	3	2	1	1	0	2	0	0	1	0	1	0	0	4	0	1	0	0	2	1	6	10	0	0	0	0	0	0	2	5	0	1	0	1	3	0	0	4	0	0	1	2	1	0	2	9	5	3	0	6	1	0	1	0	1	2	0	0	1	2	0	0	0	0	1	1	3	1	0	1	0	0	4	2	5	2	4	7	0	3	5	2	8	2	1	0	1	2	0	0	3	11	0	0	0	4	0	0	0	5	6	3	4	0	0	1	0	0	0	1	0	4	0	8	17	2	3	0	1	0	0	2	1	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	1	0	1	0	0	0	2	0	4	2	0	0	7	0	23	1	1	3	0	8	0	1	2	0	0	2	9	2	1	0	0	1	0	2	0	5	3	0	0	0	3	0	0	1	5	3	0	5	2	3	0	2	3	1	1	4	1	1	1	0	0	1	2	3	0	2	0	0	1	2	1	2	1	0	0	3	0	2	1	0	1	1	0	0	0	0	2	0	2	0	0	0	1	2	0	0	0	2	3	0	1	3	0	0	0	0	0	2	0	2	0	8	0	2	5	8	0	3	1	0	6	2	0	1	1	0	0	0	1	0	0	0	1	1	0	0	0	2	0	0	4	1	1	5	2	0	1	14	2	0	1	0	2	4	0	0	0	2	0	0	3	0	1	3	1	1	0	0	2	0	0	2	1	8	1	2	1	6	0	0	0	3	1	0	0	0	6	0	2	1	7	7	2	7	1	1	0	2	3	6	1	1	0	2	1	1	0	1	1
Creating Passionate Users	0	1	0	0	1	2	3	0	1	0	0	0	1	0	1	0	0	0	1	0	3	0	1	0	0	0	2	0	0	0	0	0	1	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	1	1	0	1	3	1	0	0	0	0	0	0	0	4	0	1	2	0	1	0	0	0	0	0	0	2	0	1	0	2	0	0	0	1	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	3	0	1	1	0	2	0	1	0	0	0	0	0	3	2	0	2	0	2	0	0	0	4	0	0	2	1	1	0	2	0	4	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	4	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	1	0	0	0	0	0	0	0	2	0	0	0	0	1	1	0	0	11	0	0	2	0	0	0	0	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	2	1	0	2	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	3	0	1	2	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	2	4	0	2	1	2	1	1	0	0	0	0	0	4	1	0	0	0	0	0	5	0	1	1	1	1	1	0	1	2	1	0	0	0	1	2	0	1	0	0	0	0	1	0	0
Kotaku	1	1	2	0	0	0	2	2	3	0	3	1	0	1	0	4	2	1	0	0	2	0	0	0	0	0	2	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	9	4	2	6	0	0	0	0	0	26	0	2	1	0	0	1	0	1	0	2	3	0	1	0	0	0	1	2	0	3	0	1	0	0	0	3	0	0	0	0	2	0	1	0	0	0	0	6	0	0	0	0	0	0	4	0	0	1	0	3	2	0	0	0	1	0	0	2	0	0	0	5	0	0	0	3	0	0	5	2	2	0	2	0	0	0	3	0	1	0	1	21	4	2	1	0	3	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	1	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	2	5	0	0	1	0	1	0	0	2	0	0	1	2	0	0	0	0	1	0	1	0	0	1	0	0	2	1	0	1	0	0	2	0	0	0	3	0	0	0	2	1	1	0	0	0	0	0	0	0	1	0	0	0	0	1	2	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	1	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	1	5	0	0	0	2	0	0	1	0	0	0	2	0	0	2	1	0	1	1	1	0	0	0	1	0	0	0	2	0	4	0	1	0	0	1	1	0	0	0	1	0	0	0	3	0	0	3	1	3	0	0	2	0	0	0	1	3	0	0	0	4	1	0	0	0	0	0	0	1	3	0	0	0	1	3	0	1	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0
The Write News	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	4	0	0	1	0	0	0	0	0	2	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	2	0	0	0	0	1	0	0	15	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	2	1	2	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	2	0	0	0	0	0	0	0	0	15	4	0	1	0	0	1	0	4	0	0	0	0	0	0	0	5	0	0	2	0	0	0	0	0	0	0	0	15	0	0	2	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	12	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	3	0	0	1	0	0	0	0	1	0	0	0	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	1	4	0	0	0	2	1	0	0	0	0	0	0	2	4	0	0	0	0	0	0	0	0	0
Derek Powazek	0	6	0	0	1	0	7	0	7	1	1	3	1	5	1	3	4	2	2	0	4	0	1	0	0	0	7	5	1	1	0	0	13	1	0	3	0	1	0	1	4	0	1	2	0	0	1	3	0	0	9	3	5	10	0	0	0	2	0	0	0	6	1	1	4	1	2	1	1	2	0	0	0	3	1	2	2	7	5	4	0	11	4	2	1	0	1	5	0	1	1	1	0	0	1	1	2	0	11	1	1	1	0	0	0	3	4	7	2	6	3	9	7	1	7	1	5	0	2	0	3	2	0	13	1	1	2	8	3	1	4	6	10	0	4	2	2	0	1	4	2	2	0	0	1	0	10	1	6	1	0	1	0	1	1	2	0	0	0	1	0	0	0	0	0	1	2	0	1	1	0	0	3	0	0	4	0	0	1	2	0	0	2	1	1	3	0	7	0	69	2	1	1	0	5	2	1	5	1	0	0	0	1	0	3	0	0	1	0	0	4	12	0	3	1	3	1	0	4	9	1	1	11	1	2	0	15	4	0	0	0	0	1	1	0	0	4	4	3	7	0	2	2	3	1	6	2	5	4	0	0	0	1	0	0	3	3	0	2	0	0	0	0	9	1	1	1	1	0	3	0	0	0	2	1	0	0	0	1	0	0	2	2	0	4	2	3	1	1	9	9	1	14	1	3	0	22	0	0	5	2	1	0	1	0	0	4	1	2	2	3	0	0	1	1	8	0	2	2	11	0	2	0	0	0	0	0	0	0	0	1	1	3	0	0	3	0	1	5	7	10	0	1	1	5	3	0	2	3	1	2	1	11	0	0	1	0	1	2	0	0	5	5	8	3	9	4	2	1	1	0	1	1	7	5	2	3	0	6	3	2	2	2	6
Captain's Quarters	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	3	0	0	0	0	1	0	1	0	0	0	0	2	1	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	4	0	0	0	0	1	0	0	3	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0	4	4	2	0	1	3	1	0	0	0	0	0	1	0	0	1	3	0	2	0	0	0	1	1	0	1	0	1	1	3	0	0	2	1	0	0	0	1	0	7	0	0	0	1	2	0	1	0	1	0	1	0	0	1	3	0	0	0	2	0	1	1	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	1	1	0	0	0	0	3	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	3	1	0	0	0	6	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	2	0	2	3	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	2	0	0	2	2	0	0	0	3	0	1	1	0	1	2	1	0	1	0	1	0	1	0	1	0	0	0	1	0	0	0	0	1	2	1	0	1	2	0	2	0	0	0	2	2	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	4	1	0	6	1	1	0	0	0	0	0	0	0	1	0	1	3	1	0	0	4	6	0	1	0	0	0	0	0	5	0	2	0	0	0	0	0	0	0
ThinkProgress	0	0	0	0	0	0	1	0	0	0	1	0	2	0	0	1	1	1	1	0	3	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0	4	4	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	4	1	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	1	0	4	0	1	0	0	4	0	0	2	0	0	0	1	2	0	0	2	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	1	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	1	0	0	0	0	0	0	3	0	1	2	0	1	2	0	1	0	0	2	1	0	1	0	1	1	0	0	0	0	6	1	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	1	1	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	2	0	5	0	1	0	1	0	0	0	11	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	2	2	1	1	0	0	0	0	1	1	0	0	0	0	1	0	1	0	0
blog maverick	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	2	0	1	0	2	0	1	0	0	0	0	0	0	1	0	0	3	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	3	0	0	1	1	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	4	2	0	1	3	1	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	2	3	0	8	3	1	0	0	0	0	0	0	3	0	0	2	1	0	0	0	5	1	1	2	4	0	1	0	0	0	2	2	0	0	0	4	0	1	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	3	0	1	0	1	0	0	0	0	0	0	0	0	1	11	0	0	0	0	1	0	2	1	0	0	0	2	0	1	0	0	0	0	2	0	2	1	0	0	0	1	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	2	0	1	0	0	0	1	0	0	1	2	0	0	0	1	0	0	0	0	1	0	0	0	0	0	3	0	0	2	0	0	0	0	0	1	0	1	0	0	0	0	0	1	4	1	0	0	0	0	0	0	2	0	0	2	6	1	0	2	2	0	2	1	1	1	4	0	0	0	0	0	0	0	1	0	1	0	0	0	2	0	0	1	4	2	0	2	3	3	0	0	2	0	0	1	1	0	1	0	0	0	0	0	0	2	0	0	4	4	2	0	0	0	2	0	1	0	0	0	1	0	6	0	0	0	1	2	0	0	1	3	0	0	3	2	1	1	1	1	0	0	0	0	1	0	1	0	1	0	1	0	0	0
PerezHilton	0	2	0	0	0	0	0	0	1	0	1	0	0	1	1	3	0	0	1	1	3	0	1	0	0	0	1	0	0	3	0	1	0	0	0	0	2	0	0	0	1	0	1	0	0	1	0	0	1	0	4	0	1	7	0	0	0	1	2	3	1	2	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	3	2	2	0	6	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	4	0	0	1	0	1	1	0	4	1	4	0	5	0	0	0	0	5	1	0	0	0	0	0	0	3	1	0	1	2	1	1	0	0	0	1	0	0	0	0	2	0	0	0	0	1	0	0	1	0	0	0	0	1	0	1	0	0	0	0	1	0	2	0	0	0	0	0	1	0	0	2	0	2	0	0	0	0	0	0	0	4	0	0	0	0	2	2	1	1	0	1	0	0	0	2	1	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	1	0	1	0	0	3	0	0	2	0	2	0	1	0	0	0	0	0	1	0	0	1	0	2	4	1	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	4	1	1	0	0	0	2	0	0	0	0	1	0	1	3	0	0	1	3	0	1	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	2	2	1	0	1	0	0	3	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	3	1	0	0	1	0	0	0	4	3	0	0	1	0	0	0	0	0	1	0	0	1	0	0	1	5	5	2	2	0	0	0	0	1	0	0	0	0	1	1	2	0	1	0
plasticbag.org	0	1	1	0	0	0	1	0	2	0	0	0	1	1	1	1	1	0	4	1	3	0	0	1	0	0	1	2	1	0	0	0	2	0	0	0	0	2	0	1	5	0	2	0	0	2	0	0	0	0	0	0	0	5	0	1	0	0	0	0	0	10	2	1	0	0	0	2	1	0	0	0	0	0	0	0	1	5	1	1	0	2	2	1	1	0	0	1	0	0	1	3	0	0	0	2	0	0	3	0	0	0	0	0	1	0	0	0	3	1	1	0	1	0	4	0	1	0	0	0	1	1	1	3	0	0	0	1	0	0	0	0	1	0	1	0	1	0	0	0	2	1	0	6	0	0	5	0	1	0	0	0	0	1	0	0	0	0	1	1	0	2	0	0	0	0	0	1	1	0	1	0	6	1	0	0	0	0	0	0	6	0	0	0	1	0	0	0	0	16	0	0	1	0	1	0	0	2	1	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	5	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	1	0	0	1	0	1	0	0	0	0	1	1	3	0	0	2	4	0	1	0	0	0	3	0	1	2	0	0	0	0	0	0	1	0	0	1	1	1	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	1	2	1	2	6	1	3	0	0	1	0	0	1	0	0	1	4	0	0	0	0	0	0	0	0	2	1	1	0	1	0	3	1	0	0	0	0	3	2	0	0	0	2	0	1	0	1	0
43 Folders	8	28	0	15	26	1	60	0	48	0	14	26	37	32	55	26	24	10	54	3	46	2	15	7	6	3	75	16	8	3	0	5	47	4	8	21	1	10	0	5	7	20	20	0	3	17	10	13	7	10	17	14	45	123	2	4	1	2	8	4	1	69	2	9	20	1	77	9	9	27	6	3	3	18	8	2	45	96	101	21	3	45	21	3	18	14	17	14	5	3	16	24	11	4	5	16	20	11	40	13	16	10	12	5	6	59	10	25	22	48	10	73	74	7	67	17	28	4	5	0	2	4	36	84	3	13	8	85	3	4	20	120	41	6	14	36	1	1	22	3	24	2	19	43	4	11	128	8	83	39	10	5	2	29	4	2	2	30	14	3	0	11	2	4	10	8	8	5	10	6	0	2	28	18	3	21	1	0	0	2	2	8	5	3	21	22	2	29	15	469	24	4	4	6	39	5	50	28	26	17	4	0	13	27	2	4	7	1	0	4	46	47	11	6	18	14	4	0	3	59	45	2	70	6	9	6	82	13	6	11	0	15	7	14	1	2	33	31	29	28	14	16	8	4	1	50	7	15	13	0	3	3	27	7	3	9	5	0	10	13	0	2	0	10	4	7	26	8	2	16	6	11	6	41	10	16	21	3	25	7	2	19	25	4	37	16	74	13	10	68	105	5	93	20	12	20	188	10	7	29	4	13	0	2	8	5	7	13	2	14	2	2	0	7	1	31	2	12	37	30	2	13	0	7	3	0	5	7	38	3	10	5	5	3	8	11	12	5	105	33	58	3	10	16	7	6	7	17	28	3	12	2	50	1	9	0	3	21	4	8	11	34	13	23	35	44	19	45	70	32	4	2	19	13	53	13	22	4	40	57	11	13	28	25
Autoblog	0	9	0	0	0	0	4	0	1	6	4	0	2	0	0	0	0	2	1	0	1	0	0	0	0	0	0	1	0	0	7	0	0	0	7	0	0	4	13	0	3	0	1	2	10	0	1	2	0	1	0	1	8	7	3	0	0	0	0	0	0	7	0	8	0	0	1	1	9	2	3	0	3	40	0	0	0	5	5	0	0	1	0	0	2	2	3	0	1	0	0	0	1	4	0	1	0	39	3	13	0	0	1	0	0	1	3	1	2	2	0	1	1	0	4	2	2	0	1	0	0	0	2	1	0	0	0	7	0	1	2	3	0	0	11	1	0	0	1	0	0	0	0	0	0	0	7	0	3	1	0	2	3	3	0	0	0	0	0	0	3	0	4	4	0	1	0	0	2	0	0	0	0	1	0	1	0	3	0	0	0	1	3	0	0	0	0	0	2	5	1	0	3	0	0	0	3	12	2	0	0	0	2	1	0	0	0	0	4	0	2	1	1	0	0	2	0	39	2	0	5	0	1	3	0	0	0	0	4	0	4	0	0	1	156	0	1	0	2	0	0	1	0	5	0	0	0	0	39	1	0	0	1	0	0	0	0	2	0	0	3	0	0	0	0	0	1	0	1	0	0	0	3	2	0	39	0	0	8	0	1	0	0	0	0	0	9	0	0	2	4	0	1	41	0	0	4	0	2	3	0	0	12	1	0	1	0	0	0	3	0	0	0	1	5	0	0	0	6	1	0	0	3	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	3	1	7	0	1	4	0	0	0	0	0	3	1	0	4	0	0	0	0	0	0	0	40	6	1	0	46	2	2	2	1	0	0	0	0	1	19	3	0	4	0	0	0	0	2	0
Google Blogoscoped	1	2	0	0	2	2	5	0	5	1	4	1	4	0	1	3	1	0	3	0	4	0	2	2	0	0	7	1	0	0	0	0	13	2	1	0	1	1	0	0	2	1	0	0	1	0	2	1	0	0	0	1	5	12	0	0	0	1	2	0	0	4	0	1	2	0	0	5	0	2	0	0	1	4	4	0	2	4	4	3	0	3	1	1	0	0	2	0	1	1	2	1	1	0	0	0	0	0	4	0	1	4	0	0	0	1	0	3	4	7	2	6	3	0	12	0	1	0	0	0	2	0	1	6	1	1	1	10	0	0	0	5	4	0	0	1	1	0	2	0	1	0	0	2	0	0	11	0	8	0	0	0	0	1	0	4	0	0	2	1	0	0	0	1	0	2	2	1	1	2	2	2	3	0	0	1	0	0	0	0	2	0	0	1	2	0	1	0	0	18	2	0	0	1	2	1	4	8	0	0	0	0	0	0	1	1	0	0	1	1	4	2	0	0	0	2	0	0	0	8	3	1	6	1	1	0	4	1	1	0	0	1	0	1	0	0	1	0	2	0	1	1	1	1	0	5	0	0	1	0	1	0	3	2	0	1	0	0	0	0	0	0	1	3	0	1	0	0	0	0	3	0	4	3	3	0	0	1	0	0	28	1	3	1	6	3	5	0	0	6	9	0	10	0	1	11	7	0	0	1	0	3	0	0	2	0	0	1	1	2	1	3	0	2	1	4	1	0	6	4	1	1	0	0	2	0	0	2	3	0	0	2	1	1	0	0	0	1	7	5	5	1	1	0	1	0	0	0	1	1	0	0	6	0	0	2	4	1	1	4	3	7	1	2	3	2	4	5	5	0	2	0	0	0	1	0	4	1	2	5	0	0	2	0
